,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
4210,win,Tim Means  George Sullivan,1  0,48  39,2  0,1  0,Welterweight,SUB  Arm Triangle,3,3:41,UFC on FOX: Machida vs Rockhold
4211,win,Diego Brandao  Jimy Hettes,0  0,12  11,2  1,0  0,Featherweight,KO/TKO,1,5:00,UFC on FOX: Machida vs Rockhold
4212,win,Chris Dempsey  Eddie Gordon,0  0,44  37,3  3,0  0,Middleweight,S-DEC,3,5:00,UFC on FOX: Machida vs Rockhold
4213,win,Mirko Filipovic  Gabriel Gonzaga,0  0,21  19,0  2,0  1,Heavyweight,KO/TKO  Elbows,3,3:30,UFC Fight Night: Gonzaga vs Cro Cop 2
4214,win,Jimi Manuwa  Jan Blachowicz,0  0,43  44,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Gonzaga vs Cro Cop 2
4215,win,Pawel Pawlak  Sheldon Westcott,0  0,30  17,3  3,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Gonzaga vs Cro Cop 2
4216,win,Maryna Moroz  Joanne Wood,0  0,12  11,0  0,1  0,Women's Strawweight,SUB  Armbar,1,1:30,UFC Fight Night: Gonzaga vs Cro Cop 2
4217,win,Leon Edwards  Seth Baczynski,1  0,3  0,0  0,0  0,Welterweight,KO/TKO  Punch,1,0:08,UFC Fight Night: Gonzaga vs Cro Cop 2
4218,win,Bartosz Fabinski  Garreth McLellan,0  0,41  13,10  0,0  2,Middleweight,U-DEC,3,5:00,UFC Fight Night: Gonzaga vs Cro Cop 2
4219,win,Sergio Moraes  Mickael Lebout,0  0,51  47,2  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Gonzaga vs Cro Cop 2
4220,win,Yaotzin Meza  Damian Stasiak,0  0,17  14,2  1,3  1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Gonzaga vs Cro Cop 2
4221,win,Anthony Hamilton  Daniel Omielanczuk,0  0,83  36,3  1,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Gonzaga vs Cro Cop 2
4222,win,Aleksandra Albu  Izabela Badurek,0  0,42  32,0  1,1  0,Women's Strawweight,SUB  Guillotine Choke,2,3:34,UFC Fight Night: Gonzaga vs Cro Cop 2
4223,win,Stevie Ray  Marcin Bandel,0  0,31  3,0  0,2  0,Lightweight,KO/TKO  Punches,2,1:35,UFC Fight Night: Gonzaga vs Cro Cop 2
4224,win,Taylor Lapilus  Rocky Lee,0  0,80  37,2  1,1  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Gonzaga vs Cro Cop 2
4225,win,Chad Mendes  Ricardo Lamas,2  0,27  8,0  0,0  0,Featherweight,KO/TKO  Punches,1,2:45,UFC Fight Night: Mendes vs Lamas
4226,win,Al Iaquinta  Jorge Masvidal,0  0,55  83,0  0,0  0,Lightweight,S-DEC,3,5:00,UFC Fight Night: Mendes vs Lamas
4227,win,Michael Chiesa  Mitch Clarke,0  0,59  65,4  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Mendes vs Lamas
4228,win,Julianna Pena  Milana Dudieva,0  0,37  0,1  1,0  0,Women's Bantamweight,KO/TKO  Elbows,1,3:59,UFC Fight Night: Mendes vs Lamas
4229,win,Clay Guida  Robert Peralta,0  0,27  24,6  0,1  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Mendes vs Lamas
4230,win,Dustin Poirier  Diego Ferreira,2  0,24  20,0  0,0  0,Lightweight,KO/TKO  Punch,1,3:45,UFC Fight Night: Mendes vs Lamas
4231,win,Liz Carmouche  Lauren Murphy,0  0,38  46,2  2,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Mendes vs Lamas
4232,win,Alexander Yakovlev  Gray Maynard,1  0,31  21,2  2,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Mendes vs Lamas
4233,win,Timothy Johnson  Shamil Abdurakhimov,0  0,22  9,1  0,0  0,Heavyweight,KO/TKO  Punches,1,4:57,UFC Fight Night: Mendes vs Lamas
4234,win,Ron Stallings  Justin Jones,0  0,50  23,0  2,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Mendes vs Lamas
4235,win,Demian Maia  Ryan LaFlare,0  0,36  25,5  0,2  0,Welterweight,U-DEC,5,5:00,UFC Fight Night: Maia vs LaFlare
4236,win,Erick Silva  Josh Koscheck,0  0,14  4,0  0,1  0,Welterweight,SUB  Guillotine Choke,1,4:21,UFC Fight Night: Maia vs LaFlare
4237,win,Leonardo Santos  Anthony Rocco Martin,0  0,12  14,1  0,1  0,Lightweight,SUB  Rear Naked Choke,2,2:29,UFC Fight Night: Maia vs LaFlare
4238,win,Amanda Nunes  Shayna Baszler,1  0,15  1,0  0,0  0,Women's Bantamweight,KO/TKO  Kick,1,1:56,UFC Fight Night: Maia vs LaFlare
4239,win,Gilbert Burns  Alex Oliveira,0  0,17  29,2  0,2  0,Lightweight,SUB  Armbar,3,4:14,UFC Fight Night: Maia vs LaFlare
4240,win,Godofredo Pepey  Andre Fili,0  0,1  1,0  0,1  0,Featherweight,SUB  Triangle Choke,1,3:14,UFC Fight Night: Maia vs LaFlare
4241,win,Francisco Trinaldo  Akbarh Arreola,0  0,39  34,3  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Maia vs LaFlare
4242,win,Edimilson Souza  Katsunori Kikuno,1  0,5  1,0  0,0  0,Featherweight,KO/TKO  Punch,1,1:31,UFC Fight Night: Maia vs LaFlare
4243,nc nc,Leandro Silva  Drew Dober,0  0,25  22,2  0,1  0,Lightweight,Overturned  Guillotine Choke,2,2:45,UFC Fight Night: Maia vs LaFlare
4244,win,Leonardo Mafra  Cain Carrizosa,0  1,94  44,5  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Maia vs LaFlare
4245,win,Christos Giagos  Jorge de Oliveira,0  0,18  0,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1,3:12,UFC Fight Night: Maia vs LaFlare
4246,win,Fredy Serrano  Bentley Syler,1  0,20  15,2  0,0  0,Flyweight,KO/TKO  Punch,3,1:34,UFC Fight Night: Maia vs LaFlare
4247,win,Rafael Dos Anjos  Anthony Pettis,0  0,90  54,9  0,0  0,Lightweight,U-DEC,5,5:00,UFC 185: Pettis vs Dos Anjos
4248,win,Joanna Jedrzejczyk  Carla Esparza,0  0,53  4,0  1,0  0,Women's Strawweight,KO/TKO  Punches,2,4:17,UFC 185: Pettis vs Dos Anjos
4249,win,Johny Hendricks  Matt Brown,0  0,36  23,9  0,0  0,Welterweight,U-DEC,3,5:00,UFC 185: Pettis vs Dos Anjos
4250,win,Alistair Overeem  Roy Nelson,0  1,62  23,0  0,0  0,Heavyweight,U-DEC,3,5:00,UFC 185: Pettis vs Dos Anjos
4251,win,Henry Cejudo  Chris Cariaso,0  0,50  22,6  0,1  0,Flyweight,U-DEC,3,5:00,UFC 185: Pettis vs Dos Anjos
4252,win,Ross Pearson  Sam Stout,1  0,25  23,0  0,0  0,Lightweight,KO/TKO  Punch,2,1:33,UFC 185: Pettis vs Dos Anjos
4253,win,Elias Theodorou  Roger Narvaez,0  0,39  16,2  0,0  0,Middleweight,KO/TKO  Punches,2,4:07,UFC 185: Pettis vs Dos Anjos
4254,win,Beneil Dariush  Daron Cruickshank,0  0,27  17,1  0,2  0,Lightweight,SUB  Rear Naked Choke,2,2:38,UFC 185: Pettis vs Dos Anjos
4255,win,Jared Rosholt  Josh Copeland,0  0,22  9,2  0,0  0,Heavyweight,KO/TKO  Punches,3,3:12,UFC 185: Pettis vs Dos Anjos
4256,win,Ryan Benoit  Sergio Pettis,1  0,28  39,1  1,0  0,Flyweight,KO/TKO  Punch,2,1:34,UFC 185: Pettis vs Dos Anjos
4257,win,Joe Duffy  Jake Lindsey,1  0,15  6,0  0,0  0,Lightweight,KO/TKO  Punch,1,1:47,UFC 185: Pettis vs Dos Anjos
4258,win,Germaine de Randamie  Larissa Pacheco,0  0,29  8,0  0,0  0,Women's Bantamweight,KO/TKO  Punch,2,2:02,UFC 185: Pettis vs Dos Anjos
4259,win,Ronda Rousey  Cat Zingano,0  0,0  0,0  0,1  0,Women's Bantamweight,SUB  Armbar,1,0:14,UFC 184: Rousey vs Zingano
4260,win,Holly Holm  Raquel Pennington,0  0,44  40,0  0,0  0,Women's Bantamweight,S-DEC,3,5:00,UFC 184: Rousey vs Zingano
4261,win,Jake Ellenberger  Josh Koscheck,0  0,15  7,0  1,1  0,Welterweight,SUB  North-South Choke,2,4:20,UFC 184: Rousey vs Zingano
4262,win,Alan Jouban  Richard Walsh,0  0,12  10,0  0,0  0,Welterweight,KO/TKO  Elbow,1,2:19,UFC 184: Rousey vs Zingano
4263,win,Tony Ferguson  Gleison Tibau,0  0,11  2,1  0,2  0,Lightweight,SUB  Rear Naked Choke,1,2:37,UFC 184: Rousey vs Zingano
4264,win,Roan Carneiro  Mark Munoz,0  0,1  0,0  0,1  0,Middleweight,SUB  Rear Naked Choke,1,1:40,UFC 184: Rousey vs Zingano
4265,nc nc,Roman Salazar  Norifumi Yamamoto,0  0,16  19,1  0,0  0,Bantamweight,CNC,2,2:37,UFC 184: Rousey vs Zingano
4266,win,Tim Means  Dhiego Lima,2  0,23  7,0  0,0  0,Welterweight,KO/TKO  Punch,1,2:17,UFC 184: Rousey vs Zingano
4267,win,Derrick Lewis  Ruan Potts,0  0,53  7,0  1,0  1,Heavyweight,KO/TKO  Punches,2,3:18,UFC 184: Rousey vs Zingano
4268,win,Valmir Lazaro  James Krause,0  0,87  87,0  0,0  0,Lightweight,S-DEC,3,5:00,UFC 184: Rousey vs Zingano
4269,win,Masio Fullen  Alex Torres,0  0,41  37,1  2,0  0,Featherweight,S-DEC,3,5:00,UFC 184: Rousey vs Zingano
4270,win,Frank Mir  Antonio Silva,1  0,10  1,0  0,0  0,Heavyweight,KO/TKO  Punch,1,1:40,UFC Fight Night: Bigfoot vs Mir
4271,win,Michael Johnson  Edson Barboza,0  0,38  31,1  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Bigfoot vs Mir
4272,win,Sam Alvey  Cezar Ferreira,1  0,4  13,0  0,0  0,Middleweight,KO/TKO  Punches,1,3:34,UFC Fight Night: Bigfoot vs Mir
4273,win,Adriano Martins  Rustam Khabilov,0  0,12  18,3  0,0  0,Lightweight,S-DEC,3,5:00,UFC Fight Night: Bigfoot vs Mir
4274,win,Frankie Saenz  Iuri Alcantara,0  0,44  31,3  2,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Bigfoot vs Mir
4275,win,Santiago Ponzinibbio  Sean Strickland,0  0,50  44,1  2,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Bigfoot vs Mir
4276,win,Marion Reneau  Jessica Andrade,0  1,6  6,0  0,1  0,Women's Bantamweight,SUB  Triangle Choke,1,1:54,UFC Fight Night: Bigfoot vs Mir
4277,win,Matt Dwyer  William Macario,1  0,13  8,0  0,0  0,Welterweight,KO/TKO  Punch,1,3:14,UFC Fight Night: Bigfoot vs Mir
4278,win,Mike de la Torre  Tiago dos Santos e Silva,1  0,16  7,0  0,0  0,Featherweight,KO/TKO  Punch,1,2:59,UFC Fight Night: Bigfoot vs Mir
4279,win,Douglas Silva de Andrade  Cody Gibson,1  0,39  30,0  0,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Bigfoot vs Mir
4280,win,Ivan Jorge  Josh Shockley,0  0,25  22,3  0,1  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Bigfoot vs Mir
4281,win,Benson Henderson  Brandon Thatch,0  0,57  44,3  2,1  0,Welterweight,SUB  Rear Naked Choke,4,3:58,UFC Fight Night: Henderson vs Thatch
4282,win,Max Holloway  Cole Miller,0  0,57  31,1  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Henderson vs Thatch
4283,win,Neil Magny  Kiichi Kunimoto,0  0,76  10,3  1,1  0,Welterweight,SUB  Rear Naked Choke,3,1:22,UFC Fight Night: Henderson vs Thatch
4284,win,Daniel Kelly  Patrick Walsh,0  0,61  50,0  1,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Henderson vs Thatch
4285,win,Kevin Lee  Michel Prazeres,0  0,62  33,4  3,3  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Henderson vs Thatch
4286,win,Ray Borg  Chris Kelades,0  0,19  4,5  0,4  0,Flyweight,SUB  Kimura,3,2:56,UFC Fight Night: Henderson vs Thatch
4287,win,Efrain Escudero  Rodrigo de Lima,1  0,94  24,2  3,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Henderson vs Thatch
4288,win,Chas Skelly  Jim Alers,1  0,42  33,0  1,0  1,Featherweight,KO/TKO  Punches,2,4:59,UFC Fight Night: Henderson vs Thatch
4289,win,Zach Makovsky  Tim Elliott,0  0,21  43,6  1,0  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Henderson vs Thatch
4290,win,James Moontasri  Cody Pfister,0  0,32  12,0  0,1  0,Lightweight,SUB  Rear Naked Choke,2,1:49,UFC Fight Night: Henderson vs Thatch
4291,nc nc,Anderson Silva  Nick Diaz,0  0,108  77,0  0,0  0,Middleweight,Overturned,5,5:00,UFC 183: Silva vs Diaz
4292,win,Tyron Woodley  Kelvin Gastelum,0  0,27  32,0  0,0  0,Welterweight,S-DEC,3,5:00,UFC 183: Silva vs Diaz
4293,win,Al Iaquinta  Joe Lauzon,1  0,59  32,1  0,0  0,Lightweight,KO/TKO  Punches,2,3:34,UFC 183: Silva vs Diaz
4294,win,Thales Leites  Tim Boetsch,0  1,20  26,1  0,2  0,Middleweight,SUB  Arm Triangle,2,3:45,UFC 183: Silva vs Diaz
4295,win,Thiago Alves  Jordan Mein,1  0,23  37,0  0,0  0,Welterweight,KO/TKO  Kick,2,0:39,UFC 183: Silva vs Diaz
4296,win,Miesha Tate  Sara McMann,0  1,23  34,0  1,2  0,Women's Bantamweight,M-DEC,3,5:00,UFC 183: Silva vs Diaz
4297,win,Derek Brunson  Ed Herman,1  0,11  0,0  0,0  0,Middleweight,KO/TKO  Punch,1,0:36,UFC 183: Silva vs Diaz
4298,win,John Lineker  Ian McCall,0  0,38  40,0  1,3  0,Flyweight,U-DEC,3,5:00,UFC 183: Silva vs Diaz
4299,win,Rafael Natal  Tom Watson,0  0,67  29,8  0,0  0,Middleweight,U-DEC,3,5:00,UFC 183: Silva vs Diaz
4300,win,Ildemar Alcantara  Richardson Moreira,0  0,21  15,0  0,0  0,Middleweight,S-DEC,3,5:00,UFC 183: Silva vs Diaz
4301,win,Thiago Santos  Andy Enz,1  0,20  1,0  0,0  0,Middleweight,KO/TKO  Punches,1,1:56,UFC 183: Silva vs Diaz
4302,win,Anthony Johnson  Alexander Gustafsson,1  0,30  10,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1,2:15,UFC on FOX: Gustafsson vs Johnson
4303,win,Gegard Mousasi  Dan Henderson,1  0,4  4,0  0,0  0,Middleweight,KO/TKO  Punch,1,1:10,UFC on FOX: Gustafsson vs Johnson
4304,win,Ryan Bader  Phil Davis,0  0,26  35,1  0,0  0,Light Heavyweight,S-DEC,3,5:00,UFC on FOX: Gustafsson vs Johnson
4305,win,Sam Sicilia  Akira Corassani,1  0,10  10,0  0,0  0,Featherweight,KO/TKO  Punch,1,3:26,UFC on FOX: Gustafsson vs Johnson
4306,win,Albert Tumenov  Nicholas Musoke,0  0,87  65,0  0,0  0,Welterweight,U-DEC,3,5:00,UFC on FOX: Gustafsson vs Johnson
4307,win,Kenny Robertson  Sultan Aliev,1  0,14  8,0  0,0  0,Welterweight,KO/TKO  Punch,1,2:42,UFC on FOX: Gustafsson vs Johnson
4308,win,Makwan Amirkhani  Andy Ogle,1  0,6  0,0  0,0  0,Featherweight,KO/TKO  Punches,1,0:08,UFC on FOX: Gustafsson vs Johnson
4309,win,Nikita Krylov  Stanislav Nedkov,1  0,13  4,0  0,1  0,Light Heavyweight,SUB  Guillotine Choke,1,1:24,UFC on FOX: Gustafsson vs Johnson
4310,win,Mairbek Taisumov  Anthony Christodoulou,0  0,37  9,2  0,0  0,Lightweight,KO/TKO  Punches,2,0:38,UFC on FOX: Gustafsson vs Johnson
4311,win,Mirsad Bektic  Paul Redmond,0  0,34  2,2  0,0  0,Featherweight,U-DEC,3,5:00,UFC on FOX: Gustafsson vs Johnson
4312,win,Viktor Pesta  Konstantin Erokhin,0  0,35  17,4  0,0  0,Heavyweight,U-DEC,3,5:00,UFC on FOX: Gustafsson vs Johnson
4313,win,Neil Seery  Chris Beal,0  0,56  39,1  2,4  0,Flyweight,U-DEC,3,5:00,UFC on FOX: Gustafsson vs Johnson
4314,win,Conor McGregor  Dennis Siver,1  0,64  32,0  0,0  0,Featherweight,KO/TKO  Punch,2,1:54,UFC Fight Night: McGregor vs Siver
4315,win,Donald Cerrone  Benson Henderson,0  0,57  86,1  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: McGregor vs Siver
4316,win,Uriah Hall  Ron Stallings,1  0,27  10,0  0,0  0,Middleweight,KO/TKO,1,3:37,UFC Fight Night: McGregor vs Siver
4317,win,Gleison Tibau  Norman Parke,0  0,38  43,2  0,0  0,Lightweight,S-DEC,3,5:00,UFC Fight Night: McGregor vs Siver
4318,win,Cathal Pendred  Sean Spencer,0  1,49  52,4  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: McGregor vs Siver
4319,win,Lorenz Larkin  John Howard,1  0,29  10,0  0,0  0,Welterweight,KO/TKO  Punch,1,2:17,UFC Fight Night: McGregor vs Siver
4320,win,Chris Wade  Zhang Lipeng,0  0,47  28,4  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: McGregor vs Siver
4321,win,Paddy Holohan  Shane Howell,0  0,42  22,3  0,2  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: McGregor vs Siver
4322,win,Johnny Case  Frankie Perez,0  0,59  16,4  1,0  1,Lightweight,KO/TKO  Punches,3,1:54,UFC Fight Night: McGregor vs Siver
4323,win,Charles Rosa  Sean Soriano,0  0,37  69,5  3,4  0,Featherweight,SUB  D'Arce Choke,3,4:43,UFC Fight Night: McGregor vs Siver
4324,win,Sean O'Connell  Matt Van Buren,1  0,66  100,0  0,0  0,Light Heavyweight,KO/TKO  Punches,3,2:11,UFC Fight Night: McGregor vs Siver
4325,win,Joby Sanchez  Tateki Matsuda,1  0,58  55,2  0,1  0,Flyweight,S-DEC,3,5:00,UFC Fight Night: McGregor vs Siver
4326,win,Jon Jones  Daniel Cormier,0  0,92  58,3  1,0  0,Light Heavyweight,U-DEC,5,5:00,UFC 182: Jones vs Cormier
4327,win,Donald Cerrone  Myles Jury,0  0,37  15,1  1,2  0,Lightweight,U-DEC,3,5:00,UFC 182: Jones vs Cormier
4328,win,Brad Tavares  Nate Marquardt,0  0,50  30,1  0,0  0,Middleweight,U-DEC,3,5:00,UFC 182: Jones vs Cormier
4329,win,Kyoji Horiguchi  Louis Gaudinot,0  0,44  23,1  0,0  2,Flyweight,U-DEC,3,5:00,UFC 182: Jones vs Cormier
4330,nc nc,Hector Lombard  Joshua Burkman,0  0,53  42,2  0,0  0,Welterweight,Overturned,3,5:00,UFC 182: Jones vs Cormier
4331,win,Paul Felder  Danny Castillo,1  0,33  21,0  0,0  0,Lightweight,KO/TKO  Spinning Back Fist,2,2:09,UFC 182: Jones vs Cormier
4332,win,Cody Garbrandt  Marcus Brimage,2  0,49  43,1  0,0  0,Bantamweight,KO/TKO  Punches,3,4:50,UFC 182: Jones vs Cormier
4333,win,Shawn Jordan  Jared Cannonier,1  0,12  10,0  0,0  0,Heavyweight,KO/TKO  Punch,1,2:57,UFC 182: Jones vs Cormier
4334,win,Evan Dunham  Rodrigo Damm,0  0,152  47,1  0,0  0,Lightweight,U-DEC,3,5:00,UFC 182: Jones vs Cormier
4335,win,Omari Akhmedov  Mats Nilsson,0  0,64  33,5  5,0  3,Welterweight,U-DEC,3,5:00,UFC 182: Jones vs Cormier
4336,win,Marion Reneau  Alexis Dufresne,0  0,85  28,0  0,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC 182: Jones vs Cormier
4337,win,Lyoto Machida  CB Dollaway,1  0,12  0,0  0,0  0,Middleweight,KO/TKO  Kick,1,1:02,UFC Fight Night: Machida vs Dollaway
4338,win,Renan Barao  Mitch Gagnon,1  0,59  58,2  0,1  0,Bantamweight,SUB  Arm Triangle,3,3:53,UFC Fight Night: Machida vs Dollaway
4339,win,Patrick Cummins  Antonio Carlos Junior,0  0,62  12,4  1,0  1,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Machida vs Dollaway
4340,win,Rashid Magomedov  Elias Silverio,2  0,91  56,1  0,0  0,Lightweight,KO/TKO  Punches,3,4:57,UFC Fight Night: Machida vs Dollaway
4341,win,Erick Silva  Mike Rhodes,0  0,2  2,1  0,1  0,Welterweight,SUB  Arm Triangle,1,1:15,UFC Fight Night: Machida vs Dollaway
4342,win,Daniel Sarafian  Antonio Dos Santos,0  1,24  37,0  0,0  0,Middleweight,KO/TKO,2,1:01,UFC Fight Night: Machida vs Dollaway
4343,win,Marcos Rogerio de Lima  Igor Pokrajac,1  0,18  3,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1,1:59,UFC Fight Night: Machida vs Dollaway
4344,win,Renato Moicano  Tom Niinimaki,0  0,48  33,1  0,1  0,Featherweight,SUB  Rear Naked Choke,2,3:30,UFC Fight Night: Machida vs Dollaway
4345,win,Hacran Dias  Darren Elkins,0  0,30  37,5  1,0  1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Machida vs Dollaway
4346,win,Leandro Issa  Yuta Sasaki,0  0,25  8,2  1,1  1,Bantamweight,SUB  Neck Crank,2,4:13,UFC Fight Night: Machida vs Dollaway
4347,win,Tim Means  Marcio Alexandre Junior,0  0,43  36,1  1,0  0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Machida vs Dollaway
4348,win,Vitor Miranda  Jake Collier,0  0,14  15,0  2,0  1,Middleweight,KO/TKO  Kick,1,4:59,UFC Fight Night: Machida vs Dollaway
4349,win,Junior Dos Santos  Stipe Miocic,1  0,123  89,1  1,0  0,Heavyweight,U-DEC,5,5:00,UFC on FOX: Dos Santos vs Miocic
4350,win,Rafael Dos Anjos  Nate Diaz,0  0,77  13,2  0,0  0,Lightweight,U-DEC,3,5:00,UFC on FOX: Dos Santos vs Miocic
4351,win,Alistair Overeem  Stefan Struve,0  0,17  2,1  0,0  0,Heavyweight,KO/TKO  Punch,1,4:13,UFC on FOX: Dos Santos vs Miocic
4352,win,Matt Mitrione  Gabriel Gonzaga,1  0,12  6,0  0,0  0,Heavyweight,KO/TKO  Punch,1,1:59,UFC on FOX: Dos Santos vs Miocic
4353,win,Joanna Jedrzejczyk  Claudia Gadelha,1  0,38  27,0  7,0  1,Women's Strawweight,S-DEC,3,5:00,UFC on FOX: Dos Santos vs Miocic
4354,win,John Moraga  Willie Gates,0  1,56  22,1  0,1  1,Flyweight,SUB  Rear Naked Choke,3,4:06,UFC on FOX: Dos Santos vs Miocic
4355,win,Ben Saunders  Joe Riggs,0  0,4  2,0  1,0  0,Welterweight,SUB  Injury,1,0:57,UFC on FOX: Dos Santos vs Miocic
4356,win,Drew Dober  Jamie Varner,0  0,5  4,0  0,1  0,Lightweight,SUB  Rear Naked Choke,1,1:52,UFC on FOX: Dos Santos vs Miocic
4357,win,Bryan Barberena  Joe Ellenberger,1  0,63  24,0  3,0  0,Lightweight,KO/TKO  Punches,3,3:24,UFC on FOX: Dos Santos vs Miocic
4358,win,David Michaud  Garett Whiteley,0  0,77  75,4  0,0  0,Lightweight,U-DEC,3,5:00,UFC on FOX: Dos Santos vs Miocic
4359,win,Henry Cejudo  Dustin Kimura,1  0,72  25,0  0,0  0,Bantamweight,U-DEC,3,5:00,UFC on FOX: Dos Santos vs Miocic
4360,win,Ian Entwistle  Anthony Birchak,0  0,0  4,0  1,3  0,Bantamweight,SUB  Heel Hook,1,1:04,UFC on FOX: Dos Santos vs Miocic
4361,win,Carla Esparza  Rose Namajunas,0  0,42  28,5  1,1  0,Women's Strawweight,SUB  Rear Naked Choke,3,1:26,The Ultimate Fighter: A Champion Will Be Crowned Finale
4362,win,Charles Oliveira  Jeremy Stephens,0  0,43  48,2  0,3  0,Featherweight,U-DEC,3,5:00,The Ultimate Fighter: A Champion Will Be Crowned Finale
4363,nc nc,KJ Noons  Daron Cruickshank,0  0,18  23,0  2,0  0,Lightweight,CNC,2,0:25,The Ultimate Fighter: A Champion Will Be Crowned Finale
4364,win,Yancy Medeiros  Joe Proctor,1  0,25  15,0  0,1  0,Lightweight,SUB  Guillotine Choke,1,4:37,The Ultimate Fighter: A Champion Will Be Crowned Finale
4365,win,Jessica Penne  Randa Markos,0  0,39  55,4  1,0  0,Women's Strawweight,S-DEC,3,5:00,The Ultimate Fighter: A Champion Will Be Crowned Finale
4366,win,Felice Herrig  Lisa Ellis,0  0,8  4,1  2,3  1,Women's Strawweight,SUB  Armbar,2,3:05,The Ultimate Fighter: A Champion Will Be Crowned Finale
4367,win,Heather Clark  Bec Rawlings,0  0,56  69,1  0,1  0,Women's Strawweight,U-DEC,3,5:00,The Ultimate Fighter: A Champion Will Be Crowned Finale
4368,win,Joanne Wood  Seo Hee Ham,0  0,109  58,2  0,0  0,Women's Strawweight,U-DEC,3,5:00,The Ultimate Fighter: A Champion Will Be Crowned Finale
4369,win,Tecia Torres  Angela Magana,1  0,96  37,1  0,0  0,Women's Strawweight,U-DEC,3,5:00,The Ultimate Fighter: A Champion Will Be Crowned Finale
4370,win,Aisling Daly  Alex Chambers,0  0,16  12,1  1,1  0,Women's Strawweight,SUB  Armbar,1,4:53,The Ultimate Fighter: A Champion Will Be Crowned Finale
4371,win,Angela Hill  Emily Kagan,1  0,107  41,0  2,0  0,Women's Strawweight,U-DEC,3,5:00,The Ultimate Fighter: A Champion Will Be Crowned Finale
4372,win,Robbie Lawler  Johny Hendricks,0  0,116  111,0  5,0  1,Welterweight,S-DEC,5,5:00,UFC 181: Hendricks vs Lawler II
4373,win,Anthony Pettis  Gilbert Melendez,0  0,30  27,0  1,1  0,Lightweight,SUB  Guillotine Choke,2,1:53,UFC 181: Hendricks vs Lawler II
4374,win,Travis Browne  Brendan Schaub,0  0,25  5,1  1,0  0,Heavyweight,KO/TKO  Punches,1,4:50,UFC 181: Hendricks vs Lawler II
4375,win,Todd Duffee  Anthony Hamilton,1  0,8  2,0  0,0  0,Heavyweight,KO/TKO  Punch,1,0:33,UFC 181: Hendricks vs Lawler II
4376,win,Tony Ferguson  Abel Trujillo,0  1,20  15,1  2,1  0,Lightweight,SUB  Rear Naked Choke,2,4:19,UFC 181: Hendricks vs Lawler II
4377,win,Urijah Faber  Francisco Rivera,1  0,19  15,0  0,1  0,Bantamweight,SUB  Bulldog Choke,2,1:34,UFC 181: Hendricks vs Lawler II
4378,win,Josh Samman  Eddie Gordon,1  0,11  8,1  2,0  0,Middleweight,KO/TKO  Kick,2,3:08,UFC 181: Hendricks vs Lawler II
4379,win,Corey Anderson  Justin Jones,0  0,45  28,7  0,0  1,Light Heavyweight,U-DEC,3,5:00,UFC 181: Hendricks vs Lawler II
4380,win,Raquel Pennington  Ashlee Evans-Smith,0  0,5  11,1  1,1  0,Women's Bantamweight,SUB  Bulldog Choke,1,4:59,UFC 181: Hendricks vs Lawler II
4381,win,Sergio Pettis  Matt Hobar,0  1,78  36,0  2,2  0,Bantamweight,U-DEC,3,5:00,UFC 181: Hendricks vs Lawler II
4382,win,Clay Collard  Alex White,1  0,60  58,3  1,2  1,Featherweight,U-DEC,3,5:00,UFC 181: Hendricks vs Lawler II
